key,interval_ms
key_9,52.81
key_6,53.41
key_9,110.15
key_6,56.44
key_10,49.38
key_6,159.70
key_5,87.45
key_10,154.90
key_10,203.53
key_9,1.18
key_10,222.92
key_7,2.07
key_5,202.03
key_6,329.52
key_5,301.62
key_3,45.18
key_6,429.07
key_14,50.16
key_3,54.37
key_10,418.38
key_12,5.33
key_3,106.30
key_9,212.97
key_3,155.11
key_6,540.84
key_3,158.07
key_5,463.96
key_14,209.35
key_6,598.78
key_14,213.50
key_16,0.33
key_3,259.43
key_3,263.50
key_8,53.06
key_16,10.16
key_5,525.87
key_12,208.89
key_3,320.94
key_5,579.18
key_3,322.97
key_7,430.97
key_12,261.75
key_3,3.21
key_12,271.23
key_7,441.09
key_11,159.19
key_6,807.57
key_11,164.56
key_11,170.07
key_16,173.85
key_7,538.45
key_14,502.67
key_10,128.90
key_16,246.35
key_5,782.22
key_7,591.44
key_6,914.09
key_11,297.49
key_3,187.97
key_14,578.40
key_16,323.08
key_14,580.30
key_3,212.12
key_9,719.09
key_5,870.75
key_5,872.41
key_6,17.32
key_5,893.42
key_16,19.49
key_5,924.42
key_14,665.59
key_10,293.57
key_8,348.28
key_6,71.31
key_8,365.99
key_16,71.53
key_1,70.11
key_7,102.78
key_10,344.09
key_7,102.78
key_8,398.78
key_1,104.48
key_7,108.11
key_11,480.69
key_3,371.19
key_10,365.65
key_6,125.64
key_11,512.96
key_10,397.89
key_8,452.83
key_1,159.39
key_17,15.83
key_11,534.96
key_16,211.71
key_9,952.79
key_1,228.52
key_10,471.68
key_8,560.21
key_6,35.24
key_10,510.81
key_12,779.05
key_3,529.19
key_4,10.58
key_1,281.77
key_8,609.96
key_5,1191.20
key_8,616.38
key_9,92.81
key_10,575.30
key_17,173.34
key_5,1209.16
key_4,95.95
key_16,375.19
key_9,145.32
key_11,744.16
key_4,116.21
key_1,419.01
key_12,932.24
key_10,669.09
key_3,676.18
key_4,161.17
key_16,439.73
key_19,118.20
key_10,687.51
key_17,312.21
key_8,98.88
key_19,160.70
key_16,485.19
key_11,841.83
key_6,262.69
key_3,741.24
key_12,1004.63
key_3,747.63
key_8,151.68
key_7,528.09
key_12,1048.16
key_8,169.84
key_12,1056.18
key_4,276.61
key_19,234.27
key_8,204.81
key_12,1093.99
key_10,829.78
key_11,947.61
key_7,599.74
key_2,210.61
key_16,602.27
key_14,1218.98
key_17,474.55
key_2,41.08
key_10,885.54
key_6,422.63
key_8,284.71
key_2,61.10
key_17,525.58
key_3,935.63
key_7,91.62
key_7,92.86
key_19,384.50
key_8,332.07
key_14,54.09
key_1,113.71
key_7,135.65
key_3,990.92
key_6,514.80
key_17,587.33
key_17,597.38
key_9,531.20
key_16,770.11
key_8,396.90
key_11,1149.92
key_8,422.56
key_7,197.60
key_12,1323.73
key_1,213.72
key_9,619.71
key_12,1362.35
key_1,252.74
key_6,623.03
key_1,254.62
key_14,212.12
key_10,12.82
key_17,65.78
key_14,220.15
key_8,531.19
key_7,303.05
key_13,166.71
key_10,51.68
key_7,305.17
key_4,649.68
key_17,124.40
key_17,126.12
key_11,1288.69
key_8,583.88
key_10,109.58
key_5,1839.52
key_2,364.73
key_10,112.25
key_10,117.57
key_1,376.60
key_9,749.29
key_18,49.08
key_6,754.52
key_3,158.47
key_1,419.01
key_3,164.94
key_16,1019.48
key_17,216.88
key_16,1027.35
key_12,1538.22
key_8,658.82
key_8,658.84
key_18,105.08
key_18,135.36
key_12,1582.23
key_6,841.06
key_13,331.87
key_10,223.82
key_12,1590.84
key_1,487.69
key_11,1446.57
key_8,713.94
key_17,319.44
key_8,750.24
key_4,855.07
key_12,1637.56
key_11,1488.29
key_2,530.11
key_11,1498.55
key_5,2016.29
key_14,487.46
key_11,1533.62
key_6,949.34
key_7,576.50
key_12,1690.55
key_11,1539.15
key_13,49.88
key_17,384.90
key_9,963.78
key_16,1194.62
key_10,381.80
key_19,914.76
key_2,634.93
key_8,861.85
key_13,103.48
key_5,2112.47
key_9,1017.26
key_12,66.06
key_14,592.71
key_18,358.67
key_19,968.87
key_18,358.64
key_13,156.97
key_8,915.40
key_11,109.83
key_2,698.30
key_7,696.96
key_10,447.09
key_14,690.22
key_2,742.64
key_5,2219.93
key_19,1023.06
key_13,210.99
key_4,202.86
key_14,693.91
key_1,753.85
key_9,1123.44
key_4,262.46
key_9,1174.34
key_12,223.14
key_16,1405.16
key_6,1173.75
key_16,1407.70
key_6,1177.00
key_8,1032.58
key_17,51.72
key_17,51.83
key_16,1461.37
key_14,806.16
key_17,53.09
key_10,606.90
key_10,607.60
key_17,53.83
key_1,863.07
key_4,320.69
key_10,662.22
key_7,913.66
key_3,663.24
key_18,585.12
key_7,913.75
key_6,0.82
key_13,388.74
key_2,166.38
key_7,969.33
key_7,969.34
key_4,442.83
key_7,981.37
key_8,1209.60
key_1,985.51
key_17,176.47
key_7,981.66
key_19,236.76
key_3,776.09
key_5,2504.93
key_13,504.80
key_2,232.24
key_13,504.84
key_11,457.96
key_11,458.33
key_12,460.08
key_3,787.60
key_19,334.31
key_12,506.02
key_8,1317.02
key_7,1088.89
key_3,839.13
key_2,287.49
key_7,1090.40
key_12,513.05
key_18,762.53
key_17,289.75
key_17,327.48
key_12,558.88
key_14,1091.97
key_14,1092.01
key_2,340.68
key_6,105.20
key_4,605.15
key_2,341.05
key_13,616.47
key_4,651.82
key_14,1139.16
key_7,1197.33
key_6,158.94
key_3,947.23
key_13,667.15
key_9,1570.95
key_3,947.30
key_6,159.46
key_17,394.93
key_18,919.47
key_6,209.75
key_13,720.94
key_19,506.52
key_18,923.30
key_5,214.39
key_8,1480.95
key_17,448.38
