key,interval_ms
key_9,1.23
key_11,1.85
key_8,4.58
key_5,3.75
key_12,3.44
key_5,5.37
key_19,7.78
key_5,13.72
key_14,372.25
key_1,1.09
key_8,315.21
key_16,665.98
key_7,1.93
key_8,316.67
key_16,667.75
key_19,316.56
key_7,4.29
key_19,318.05
key_17,1.09
key_8,631.61
key_19,631.74
key_11,984.73
key_5,633.29
key_1,5.84
key_3,0.77
key_15,6.32
key_2,6.33
key_12,3.39
key_1,3.58
key_2,3.85
key_9,655.86
key_7,7.32
key_11,1325.45
key_12,8.84
key_12,8.77
key_11,1326.31
key_1,9.86
key_10,342.35
key_1,11.34
key_16,11.38
key_0,349.11
key_1,12.51
key_19,978.17
key_14,4.10
key_13,4.54
key_13,5.03
key_17,4.72
key_15,661.17
key_9,976.46
key_6,2.63
key_16,2.62
key_12,2.86
key_19,1623.09
key_4,336.45
key_13,323.07
key_18,977.25
key_18,977.21
key_1,323.32
key_4,3.35
key_17,324.41
key_19,1.78
key_7,2.29
key_12,3.59
key_15,327.63
key_15,327.63
key_17,328.02
key_0,647.64
key_10,5.38
key_11,328.81
key_15,328.95
key_18,1303.99
key_17,646.18
key_16,323.39
key_15,4.42
key_17,646.90
key_3,1303.84
key_9,327.43
key_11,7.62
key_8,650.16
key_5,8.69
key_11,8.72
key_2,9.44
key_7,9.43
key_16,328.64
key_6,638.36
key_16,638.91
key_1,1.32
key_7,2.69
key_19,640.43
key_9,640.71
key_17,3.64
key_6,2.85
key_15,323.11
key_19,956.31
key_19,956.37
key_15,1.87
key_8,317.06
key_3,1933.72
key_7,319.70
key_6,2.57
key_10,638.14
key_6,3.07
key_11,1.29
key_13,0.66
key_16,1272.98
key_13,0.76
key_3,0.78
key_9,1.72
key_2,320.04
key_10,955.83
key_17,5.61
key_17,317.75
key_3,5.67
key_4,1914.18
key_2,637.07
key_12,637.77
key_0,322.05
key_10,323.39
key_16,323.30
key_13,2.88
key_16,324.43
key_9,637.62
key_5,637.75
key_17,5.99
key_12,958.54
key_7,641.41
key_7,956.96
key_6,322.95
key_8,0.93
key_11,0.67
key_5,957.75
key_18,1590.68
key_11,2.06
key_16,3.14
key_17,3.75
key_15,4.41
key_5,6.85
key_15,8.49
key_15,2.96
key_8,637.60
key_7,1593.68
key_17,3.20
key_6,961.59
key_4,643.62
key_5,328.56
key_4,954.43
key_6,1276.74
key_0,312.96
key_0,313.42
key_0,314.32
key_1,2.60
key_19,3.31
key_2,3.35
key_16,4.04
key_8,957.72
key_12,4.09
key_13,957.28
key_7,4.04
key_12,0.05
key_13,1277.05
key_7,323.77
key_10,1.71
key_15,6.07
key_12,1.87
key_14,6.81
key_18,645.77
key_14,6.80
key_1,327.46
key_3,10.31
key_15,10.94
key_5,644.97
key_11,4.04
key_13,5.66
key_17,328.15
key_5,647.83
key_9,318.49
key_11,318.43
key_16,1.42
key_16,3.25
key_7,322.10
key_9,323.21
key_11,636.53
key_12,320.24
key_3,636.63
key_11,638.16
key_8,323.04
key_16,322.85
key_12,324.12
key_8,636.85
key_9,953.39
key_18,1913.34
key_17,1.14
key_8,639.30
key_19,7.23
key_2,3.03
key_7,1270.02
key_13,636.11
key_14,320.56
key_12,5.99
key_2,4.88
key_14,322.24
key_6,639.26
key_18,2233.31
key_12,7.87
key_3,324.50
key_3,2.16
key_17,633.06
key_5,319.82
key_10,633.67
key_4,0.89
key_17,634.70
key_2,321.44
key_18,2548.37
key_5,322.40
key_8,323.87
key_17,636.70
key_16,324.54
key_13,2.39
key_12,639.42
key_6,1.92
key_16,639.44
key_2,639.22
key_14,4.07
key_16,641.00
key_11,4.30
key_9,5.13
key_5,641.98
key_18,5.62
key_7,7.18
key_18,6.46
key_6,317.20
key_10,1267.43
key_12,3.73
key_2,953.79
key_2,953.98
key_19,1273.04
key_17,6.18
key_13,4.52
key_12,5.63
key_16,7.10
key_7,320.46
key_8,957.69
key_9,320.66
key_5,8.48
key_18,628.25
key_8,1266.07
key_11,631.00
key_16,320.86
key_13,318.25
key_6,8.08
key_7,634.50
key_5,3.52
key_7,635.28
key_15,322.82
key_13,320.66
key_17,313.94
key_19,309.31
key_15,0.50
key_14,625.93
key_15,1.60
key_11,941.49
key_11,942.84
key_14,628.68
key_4,318.25
key_4,318.60
key_3,7.74
key_2,4.10
key_16,943.10
key_6,0.06
key_6,0.16
key_2,2.54
key_19,626.33
key_4,7.38
key_18,1257.22
key_5,321.69
key_0,2.38
key_2,2.10
key_19,2.15
