type,latency_ms,key,version,stale
write,325.85,key_2,127,false
write,325.87,key_13,120,false
write,325.92,key_11,101,false
write,325.79,key_9,102,false
write,325.77,key_2,127,false
write,325.83,key_11,101,false
write,325.81,key_4,108,false
write,325.77,key_17,110,false
write,326.12,key_11,101,false
write,326.17,key_16,129,false
write,319.67,key_9,103,false
write,319.74,key_16,130,false
write,319.70,key_4,109,false
write,319.74,key_8,109,false
write,319.56,key_9,103,false
write,319.92,key_6,102,false
write,320.00,key_18,103,false
write,319.86,key_7,103,false
write,320.12,key_17,111,false
write,319.99,key_18,104,false
read,3.15,key_9,103,false
read,3.22,key_18,104,false
read,3.11,key_3,111,false
read,4.26,key_10,102,false
read,5.37,key_2,127,false
read,3.56,key_13,120,false
write,321.07,key_9,104,false
write,321.19,key_3,112,false
write,321.05,key_7,104,false
write,321.21,key_0,110,false
write,321.34,key_4,110,false
write,314.60,key_18,105,false
write,318.15,key_7,105,false
write,315.99,key_9,104,false
write,316.86,key_7,104,false
write,317.98,key_17,112,false
read,3.13,key_11,101,false
write,322.16,key_2,128,false
write,321.95,key_14,108,false
write,322.02,key_4,111,false
write,322.19,key_1,110,false
write,322.17,key_3,113,false
write,322.21,key_2,128,false
write,322.21,key_3,114,false
write,322.16,key_1,110,false
write,318.87,key_1,110,false
write,321.99,key_11,102,false
read,2.85,key_14,108,false
read,0.81,key_14,108,false
write,330.40,key_0,111,false
write,330.79,key_14,109,false
write,331.19,key_8,111,false
write,331.18,key_5,113,false
write,331.38,key_0,111,false
write,331.37,key_17,113,false
write,331.38,key_8,110,false
write,331.58,key_10,103,false
write,331.48,key_3,114,false
write,327.88,key_5,113,false
write,318.01,key_4,112,false
write,317.91,key_2,129,false
write,317.66,key_2,129,false
write,317.62,key_16,131,false
write,317.61,key_10,104,false
write,318.00,key_9,105,false
write,318.82,key_7,106,false
write,318.36,key_12,105,false
write,318.12,key_1,111,false
write,317.67,key_5,114,false
write,319.70,key_4,113,false
write,320.72,key_6,103,false
write,320.55,key_9,106,false
write,321.34,key_15,110,false
write,321.16,key_4,113,false
write,321.30,key_15,110,false
write,321.34,key_19,124,false
write,321.50,key_11,103,false
write,321.61,key_9,106,false
write,321.41,key_1,112,false
read,1.60,key_10,104,false
read,3.32,key_14,109,false
write,320.12,key_10,105,false
write,321.67,key_18,106,false
write,320.89,key_13,121,false
write,318.92,key_1,113,false
write,320.30,key_7,107,false
write,320.49,key_6,104,false
write,320.33,key_4,114,false
write,321.20,key_12,106,false
write,317.05,key_15,111,false
write,320.52,key_13,121,false
